id,title,domain,severity,nist_ai_rmf,mitre_atlas,stakeholders,references,risk,scenario,tier1,tier2,tier3,tooling
AISECA-CBRN-001,CBRN knowledge enablement,"CBRN (Chemical, Biological, Radiological, Nuclear)",Medium,GOV-1; MAP-3; MAN-3,Conditional: Impact – External Harms (AML.T0048); Defense Evasion – LLM Jailbreak (AML.T0054),Leadership,https://www.rand.org/pubs/research_reports/RRA2977-1.html,"AI provides information that helps someone create, acquire, or use dangerous chemical, biological, radiological, or nuclear materials.","An AI assistant provides step-by-step guidance that lowers the technical barrier for synthesizing a toxic chemical agent, enabling a user without formal training to progress from theoretical understanding to actionable capability.","Define and enforce strict content boundaries prohibiting the generation of actionable CBRN-related guidance, including synthesis methods, material acquisition, weaponization techniques, or procedural steps, while allowing only high-level, non-operational educational information with clear safety framing.","Implement and enforce policy-aligned detection and filtering mechanisms for CBRN-related prompts and outputs, including classification models, keyword/pattern controls, and contextual risk scoring. Monitor for attempts to elicit restricted knowledge (e.g., prompt chaining, obfuscation), trigger safe-response fallbacks, and route high-risk interactions to logging and incident response workflows.","Continuously evaluate system resilience against adversarial probing using red teaming and automated test suites targeting CBRN knowledge extraction techniques. Track metrics such as policy evasion rate, unsafe response frequency, and detection coverage, and iteratively refine controls, detection models, and response strategies based on emerging threat patterns and misuse attempts.","**Categories.** AI Guardrails / AI Firewall (GenAI runtime defense); AI TRiSM; AI Red Teaming (AEV)

**Content safety guardrails & CBRN red-teaming**

- Meta Llama Guard 3 (indiscriminate weapons/CBRN category) — https://github.com/meta-llama/PurpleLlama
- Google ShieldGemma — https://ai.google.dev/gemma/docs/shieldgemma
- NVIDIA NeMo Guardrails (topical rails) — https://github.com/NVIDIA/NeMo-Guardrails
- IBM Granite Guardian — https://github.com/ibm-granite/granite-guardian
Tier 3 validation:
- Microsoft PyRIT — https://github.com/Azure/PyRIT
- NVIDIA garak — https://github.com/NVIDIA/garak"
AISECA-CBRN-002,Dual-use misuse,"CBRN (Chemical, Biological, Radiological, Nuclear)",Medium,GOV-1; MAP-3; MAN-3,Conditional: Resource Development – Obtain Capabilities (AML.T0016); Impact – External Harms (AML.T0048),Cybersecurity / Assurance,"https://en.wikipedia.org/wiki/Mata_v._Avianca,_Inc","AI capabilities intended for legitimate purposes are used to support harmful, dangerous, or prohibited activities.",A Day Porter looks up what cleaning chemicals not to mix. The AI outputs a list of dangerous combinations and explains what toxic gases can be produced.,"Define review requirements for sensitive dual-use queries by formally identifying the categories of CBRN-adjacent content such as synthesis routes, weaponization methods, dispersal mechanisms, and acquisition pathways that require elevated scrutiny, and establishing clear criteria for what constitutes meaningful uplift versus legitimate educational or research use. Constrain the system by implementing hard refusal boundaries for the highest-risk query types regardless of stated intent, restricting access to detailed technical content in CBRN domains to verified use cases, and requiring legal and safety review before any AI application is deployed in contexts where CBRN dual-use queries are foreseeable.","Enforce review and response workflows by deploying classifiers that detect CBRN-relevant queries in real time, routing flagged inputs through human review or automated refusal pipelines before a response is generated, and maintaining a tiered response framework that distinguishes between queries requiring redirection, partial response, or hard refusal. Monitor by logging all flagged queries and outcomes to build an auditable record, tracking patterns in dual-use query attempts to identify coordinated or escalating misuse, and establishing reporting obligations to relevant authorities where queries indicate credible threat intent.","Continuously validate effectiveness of safeguards by conducting structured red-team exercises that probe CBRN refusal boundaries using both direct and indirect query strategies, measuring whether classifiers and refusal policies hold against novel phrasing, multi-step elicitation, and context manipulation attempts. Adapt by updating detection classifiers and refusal criteria as new attack vectors and dual-use query patterns emerge, aligning controls with evolving biosecurity, export control, and AI safety regulations, and incorporating findings from red-teaming and incident reviews into a continuous improvement cycle for CBRN safeguards.","**Categories.** AI Guardrails (AI TRiSM); AIDR (misuse monitoring); AI Red Teaming (AEV)

**Misuse detection & policy enforcement**

- NVIDIA NeMo Guardrails (tiered response flows) — https://github.com/NVIDIA/NeMo-Guardrails
- Meta Llama Guard 3 — https://github.com/meta-llama/PurpleLlama
- IBM Granite Guardian — https://github.com/ibm-granite/granite-guardian
Adversarial probing of refusal boundaries:
- Microsoft PyRIT (multi-turn attack orchestration) — https://github.com/Azure/PyRIT
- NVIDIA garak — https://github.com/NVIDIA/garak"
AISECA-CONF-001,Hallucinated outputs,Confabulation (Hallucinations),Medium,MAP-3; MEA-1; MAN-2,No Direct Mapping,Builder / Maintainer,"https://en.wikipedia.org/wiki/Mata_v._Avianca,_Inc",AI generates false or inaccurate information and presents it as factual.,"An AI assistant supporting legal research cites a non-existent court precedent with full case details. A junior associate, trusting the output, submits it in a brief, exposing the firm to sanctions.","Publish acceptable use policy prohibiting unverified AI-generated factual claims (e.g. citations, figures, quotes), and define prohibited use cases with strict rules for high-stakes domains. Ground factual use cases in retrieval from authoritative or stewarded sources.","Translate policy into technical enforcement through automated or manual verification against authoritative sources. Require human-in-the-loop review for high-stakes outputs with workflow controls. Track correction rates, flagged output, and user feedback in order to escalate and apportion investigative resources.",Continously test controls and correction metrics to define risk thresholds and high-stakes domains. Conduct periodic sampling of production output for audit purposes to validate automated and human reviewers are catching errors. Benchmark audit results against industry or peer data to continuously strengthen control environment and stay abreast of emerging trends.,"**Categories.** LLM Evaluation & AI Observability; AI Guardrails (groundedness checks)

**Groundedness & output validation**

- IBM Granite Guardian (groundedness/answer-relevance detectors) — https://github.com/ibm-granite/granite-guardian
- NVIDIA NeMo Guardrails (self-check & fact-check rails) — https://github.com/NVIDIA/NeMo-Guardrails
- MLflow LLM Evaluate (Databricks) — https://github.com/mlflow/mlflow
- OpenAI Evals (regression suites) — https://github.com/openai/evals"
AISECA-CONF-002,Incorrect citations or fabricated sources / information,Confabulation (Hallucinations),Medium,MAP-3; MEA-1; MAN-2,Conditional: Defense Evasion – LLM Trusted Output Components Manipulation (AML.T0067),Builder / Maintainer,https://www.nytimes.com/2023/05/27/nyregion/chatgpt-lawyers.html,"AI invents sources, references, citations, or supporting evidence that do not actually exist.","An LLM generated report includes fabricated citations that go unnoticed and inform a leadership decision, later requiring retraction.","Define and require verifiable sourcing for all citation-based outputs, restricting the model from presenting unverified or inferred sources as factual",Ensure data provenance by making sure every citation can be traced to a real source and clearly supports the claim; monitor outputs for missing or unsupported citations and trigger fallback or suppression when checks fail,"Continuously test citation accuracy using automated evaluations and adversarial scenarios, track false citation rates and grounding coverage, and adapt controls based on observed hallucination and failure patterns","**Categories.** LLM Evaluation & AI Observability; AI Guardrails (grounding rails)

**Citation & source verification**

- NVIDIA NeMo Guardrails (grounding against retrieved sources) — https://github.com/NVIDIA/NeMo-Guardrails
- IBM Granite Guardian (context relevance/groundedness) — https://github.com/ibm-granite/granite-guardian
- MLflow LLM Evaluate (Databricks) (citation-accuracy test suites) — https://github.com/mlflow/mlflow
- OpenAI Evals — https://github.com/openai/evals"
AISECA-DVH-001,Violence facilitation,"Dangerous, Violent, or Hateful Content",Medium,MAP-3; MAN-3,Conditional: Execution – LLM Prompt Injection (AML.T0051); Defense Evasion – LLM Jailbreak (AML.T0054); Impact – External Harms (AML.T0048),Cybersecurity / Assurance,https://www.asisonline.org/security-management-magazine/latest-news/today-in-security/2026/march/chatbots-violent-attackers/,"AI provides information or guidance that could help someone plan, commit, or encourage violence.","A large regional bank deploys a general-purpose AI assistant accessible to retail banking customers via its mobile app. A user constructs a series of escalating prompts that gradually shift the conversational context away from financial guidance. Within the same session, the model, lacking robust session-level behavioral tracking,  begins responding to queries about harming a named individual, producing actionable guidance that would not have been returned in a fresh session. The bank's trust and safety team only discovers the interaction during a routine audit, weeks after it occurred.","Define clear content boundaries that prohibit the generation of outputs that could facilitate, instruct, enable, or incite physical violence against persons or groups, including tactical guidance, weapon acquisition, targeting information, or operational planning steps. Establish policy documentation that distinguishes prohibited violence-facilitating outputs from permissible content such as news reporting, fiction with appropriate safeguards, and de-escalation guidance. Require that all AI deployments include documented violence-facilitation prohibitions reviewed and approved by the responsible Trust and Safety or Legal function, with explicit coverage of both direct and indirect facilitation vectors including multi-turn session manipulation and persona-based evasion techniques.","Enforce violence-facilitation content policies through a layered detection stack that includes classifier models trained to identify violence-facilitating intent, keyword and semantic pattern controls, and session-level context scoring that detects escalating or manipulative conversation patterns across a multi-turn session. Implement safe-response fallbacks and hard-stop mechanisms that block generation when violence-facilitation signals exceed defined thresholds, with automatic routing to logging and incident response workflows. Monitor for known evasion techniques including multi-turn context manipulation, persona-based prompt injection, and indirect facilitation attempts that avoid explicit language while progressively building toward actionable guidance.","Continuously test violence-facilitation controls using red team exercises and automated adversarial test suites that simulate realistic misuse vectors including multi-turn manipulation, indirect facilitation, and jailbreak attempts that exploit session context drift. Track metrics including evasion rate, unsafe response rate, detection coverage across facilitation vectors, and false positive rates that could degrade legitimate use. Regularly review and adapt content policies, classifier models, and detection thresholds based on findings from red team exercises, post-incident reviews, and emerging misuse patterns observed across the AI threat landscape.","**Categories.** Content Moderation (Trust & Safety); AI Guardrails; AI Red Teaming (AEV)

**Content safety classifiers**

- Meta Llama Guard 3 (violent crimes category) — https://github.com/meta-llama/PurpleLlama
- Google ShieldGemma (dangerous content) — https://ai.google.dev/gemma/docs/shieldgemma
- IBM Granite Guardian — https://github.com/ibm-granite/granite-guardian
- NVIDIA NeMo Guardrails (output rails) — https://github.com/NVIDIA/NeMo-Guardrails
Validation:
- Microsoft PyRIT — https://github.com/Azure/PyRIT
- NVIDIA garak — https://github.com/NVIDIA/garak"
AISECA-DVH-002,Extremist or hateful outputs,"Dangerous, Violent, or Hateful Content",High,MAP-3; MAN-3,Conditional: Execution – LLM Prompt Injection (AML.T0051); Defense Evasion – LLM Jailbreak (AML.T0054); Impact – External Harms (AML.T0048),Cybersecurity / Assurance,https://www.theverge.com/2016/3/24/11297050/tay-microsoft-chatbot-racist,"AI generates content that promotes, supports, or amplifies hateful, extremist, or discriminatory views.","An AI system generates content that reinforces extremist ideologies or produces hateful narratives targeting a protected group, which is then shared publicly and damages brand reputation while contributing to real-world harm.","Define and enforce content policies that prohibit the generation of extremist, violent, or hateful content, including praise, advocacy, or narrative framing that legitimizes such ideologies, while allowing limited contextualized or critical discussion for educational or safety purposes.","Implement detection and filtering mechanisms to identify and block extremist or hateful prompts and outputs, including contextual classification and intent analysis. Monitor for evasion techniques (e.g., coded language, roleplay scenarios), enforce safe-response patterns, and log high-risk interactions for review and incident handling.","Continuously test system behavior using adversarial prompts and red teaming focused on extremist and hateful content generation. Track metrics such as policy violation rates, false negatives, and evasion success rates, and refine detection models and response strategies to address emerging language patterns and threat actors.","**Categories.** Content Moderation (Trust & Safety); AI Guardrails (AI TRiSM)

**Hate/toxicity moderation**

- Meta Llama Guard 3 (hate category) — https://github.com/meta-llama/PurpleLlama
- Google ShieldGemma (hate/harassment) — https://ai.google.dev/gemma/docs/shieldgemma
- IBM Granite Guardian (social bias & toxicity detectors) — https://github.com/ibm-granite/granite-guardian
- NVIDIA NeMo Guardrails (output rails) — https://github.com/NVIDIA/NeMo-Guardrails"
AISECA-PRIV-001,Prompt-based data leakage,Data Privacy,High,MAP-2; MAN-4,Direct: Exfiltration – LLM Data Leakage (AML.T0057),Cybersecurity / Assurance,https://gizmodo.com/chatgpt-ai-samsung-employees-leak-data-1850307376,"Sensitive information is unintentionally exposed through prompts, responses, or interactions with an AI system.","An employee working on a sales campaign spreadsheet pastes customer information into an AI assistant to generate copy. The model stores that data and later reuses fragments of it in another user’s session, which exposes proprietary or regulated information","Define restrictions on sensitive data exposure in prompts and outputs, and prevent the model from returning protected data (e.g., PII, MNPI, Client Data, secrets, proprietary content) beyond the active user context","Enforce data loss prevention through output filtering and access controls, and monitor prompts and responses for sensitive data exposure, triggering redaction or blocking when violations are detected","Continuously test for data leakage using adversarial prompts and automated evaluations, track leakage rates and detection effectiveness, and adapt controls based on observed failure patterns and emerging attack techniques","**Categories.** AI-aware DLP; DSPM; AI Guardrails (sensitive-data rails)

**PII/secrets detection & redaction**

- Microsoft Presidio (PII detection & anonymization) — https://github.com/microsoft/presidio
- Palo Alto Networks LLM Guard (Protect AI) (PII & secrets scanners on prompts/outputs) — https://github.com/protectai/llm-guard
- NVIDIA NeMo Guardrails (sensitive-data rails) — https://github.com/NVIDIA/NeMo-Guardrails
- Yelp detect-secrets — https://github.com/Yelp/detect-secrets"
AISECA-PRIV-002,Sensitive data retention,Data Privacy,High,MAP-2; MAN-4,Conditional: Collection – Data from AI Services (AML.T0085); Exfiltration – LLM Data Leakage (AML.T0057),Cybersecurity / Assurance,https://mashable.com/article/samsung-chatgpt-leak-details,"Sensitive information remains stored, accessible, or recoverable longer than intended.",An HR employee drafts termination letters containing SSNs and salary data. The context persists in logs which resurfaces when they are ingested by a centralized logging tool like Splunk which are indexed & searchable by any engineer with access.,"Establish foundational policy that limits sensitive data exposure in unapproved AI systems. Include data handling policy that defines specific classifications (PII, PHI, Regulated Data, etc.) that are prohibited or restricts in AI prompts with clear guidance on approved alternatives (e.g. redaction). Configure AI service settings to observe retention policies, where available.","Translate policy into technical enforcement through data loss prevention, input sanitization/redaction, or other gates to regulate sensitive data exposure to unapproved AI services. Consolidate AI input, output, logging, and other telemetry into centralized logging or observability tools. Analyze ingested content for sensitive data classifications with thresholds that trigger escalation.",Continuously test controls with sampling of production output at each gate to validate automated and human reviewers are catching sensitive data exfiltration. Periodically red-team control pipelines to ensure controls hold under realistic and evolving practices. Continuously adjust controls as regulation evolves.,"**Categories.** DSPM; Data Governance / retention management (ILM)

**Data discovery & lifecycle enforcement**

- Microsoft Presidio (find/redact stored PII in transcripts & logs) — https://github.com/microsoft/presidio
- OpenSearch Index State Management (AWS) (retention policies on conversation/log stores) — https://opensearch.org/docs/latest/im-plugin/ism/index/
- Elastic ILM — https://www.elastic.co/guide/en/elasticsearch/reference/current/index-lifecycle-management.html
- DataHub (LinkedIn-originated) (retention & lineage metadata) — https://github.com/datahub-project/datahub"
AISECA-PRIV-003,Context Injection via Tools or MCP,Data Privacy,High,MAP-2; MAN-4,Direct: Execution – LLM Prompt Injection (AML.T0051); Persistence – AI Agent Tool Data Poisoning (AML.T0099); Privilege Escalation – AI Agent Tool Invocation (AML.T0053); Exfiltration – Exfiltration via AI Agent Tool Invocation (AML.T0086),Cybersecurity / Assurance,,"Content from connected tools, data sources, or systems manipulates an AI model into behaving in unintended ways.","A wealth management firm deploys an AI assistant connected via MCP to a portfolio analytics tool and an internal document retrieval system. An attacker with write access to the document store embeds hidden natural-language instructions within a PDF investment memo. When a relationship manager asks the AI to summarize the memo, the model processes the embedded instructions, which redirect it to query the portfolio tool for account balances across unrelated client portfolios and append those values to the generated summary. The relationship manager, focused on the legitimate memo content, does not notice the appended data. The attacker retrieves the summary from a shared workspace, exfiltrating client financial data without ever directly accessing the portfolio tool.","Define explicit trust boundaries for all external context that AI systems can ingest through tools, MCP servers, or retrieval-augmented pipelines, establishing that all tool-sourced and externally-retrieved content is untrusted by default and cannot modify system-level behavior or override operator instructions. Require that all AI deployments include a documented inventory of permitted tool integrations and MCP endpoints, each classified by trust level and permitted context contribution. Define prohibited context injection patterns, including instructions embedded in retrieved documents, metadata fields, tool responses, and structured data payloads. Require that all such content be treated as data, not as directives.","Enforce context injection defenses through input validation and sanitization applied to all tool outputs and MCP responses before they are incorporated into model context, stripping or neutralizing content that matches known injection patterns including instruction-like natural language, role-override attempts, and embedded directives. Implement context boundary controls that prevent tool-sourced content from interacting with or overriding system prompt instructions, and monitor tool interaction logs for anomalous context patterns including unusually large tool responses, structured content with instruction-like syntax, and tool outputs that trigger unexpected downstream model behavior. Alert and quarantine interactions where injection indicators are detected.","Continuously test context injection defenses using adversarial scenarios that embed injection payloads across all supported tool and MCP input surfaces, including document retrieval results, API response bodies, structured data fields, and metadata. Track metrics including injection detection rate, false negative rate by input surface type, time-to-detection for novel injection patterns, and downstream impact rate for undetected injections. Conduct regular red team exercises simulating attacker-controlled tool responses and document stores, and adapt sanitization logic, boundary controls, and detection models based on findings. Review and update trust boundary definitions as new tool integrations and MCP endpoints are onboarded.

 Note: For risks specific to compromised, untrusted, or malicious MCP endpoints and tool registries — including tool schema poisoning and registry-based attacks — see ""Compromised, Untrusted, or Malicious Agent Tool Ecosystem"" under Value Chain & Component Integration.","**Categories.** AI-SPM / AI Supply Chain Security (MCP & tool scanning); AI Guardrails / AI Firewall; AIDR

**MCP/tool content scanning & injection defense**

- Cisco AI Defense MCP Scanner (tool poisoning, hidden instructions, behavioral code analysis) — https://github.com/cisco-ai-defense/mcp-scanner
- Snyk MCP-Scan (Invariant Labs) (tool pinning vs. rug-pulls, toxic flow analysis) — https://github.com/invariantlabs-ai/mcp-scan
- Meta LlamaFirewall (Prompt Guard 2 on tool outputs) — https://github.com/meta-llama/PurpleLlama
- NVIDIA NeMo Guardrails (input rails) — https://github.com/NVIDIA/NeMo-Guardrails"
AISECA-PRIV-004,Re-identification risk,Data Privacy,High,MAP-2; MAN-4,Conditional: Exfiltration – Exfiltration via AI Inference API (AML.T0024),Leadership,https://www.nature.com/articles/s41467-019-10933-3,AI enables someone to identify an individual who was intended to remain anonymous.,"An AI model generates outputs that, when combined with external data, enable the re-identification of an individual from previously anonymized datasets, exposing sensitive personal information and creating regulatory and legal risk.","Define and enforce restrictions on the use, retention, and generation of sensitive or personal data, including policies that prohibit outputs that could directly or indirectly enable re-identification of individuals from anonymized or aggregated data.","Implement technical controls such as data minimization, de-identification techniques, and privacy-preserving mechanisms (e.g., filtering, access controls) to prevent re-identification risks. Monitor outputs for potential leakage of quasi-identifiers or sensitive attributes and trigger mitigation actions when risk thresholds are exceeded.","Continuously evaluate re-identification risk through privacy testing methods (e.g., simulated linkage attacks, red teaming) and track metrics such as re-identification success rates and sensitive attribute exposure. Adapt data handling practices, model safeguards, and monitoring thresholds in response to evolving privacy risks and regulatory expectations.","**Categories.** PEC (Privacy-Enhancing Computation); Privacy Management; AI TRiSM (model privacy)

**Anonymization & differential privacy**

- Microsoft Presidio — https://github.com/microsoft/presidio
- Microsoft SmartNoise (OpenDP) — https://github.com/opendp/smartnoise-sdk
- Google differential-privacy libraries — https://github.com/google/differential-privacy
- Google TensorFlow Privacy (DP-SGD training) — https://github.com/tensorflow/privacy
- IBM ai-privacy-toolkit — https://github.com/IBM/ai-privacy-toolkit"
